SessionDate,SessionName,ChannelNumber,Region,Probe
07/03/18,Chap00_rec49,19,LOFC,2
07/03/18,Chap00_rec49,20,LOFC,2
07/03/18,Chap00_rec49,21,LOFC,2
07/03/18,Chap00_rec49,22,LOFC,2
07/03/18,Chap00_rec49,23,LOFC,2
07/03/18,Chap00_rec49,24,LOFC,2
07/03/18,Chap00_rec49,25,LOFC,2
07/03/18,Chap00_rec49,26,LOFC,2
07/03/18,Chap00_rec49,27,LOFC,2
07/03/18,Chap00_rec49,28,LOFC,2
07/03/18,Chap00_rec49,29,LOFC,2
07/03/18,Chap00_rec49,30,LOFC,2
07/03/18,Chap00_rec49,31,LOFC,2
07/03/18,Chap00_rec49,32,LOFC,2
07/03/18,Chap00_rec49,49,LCN,3
07/03/18,Chap00_rec49,50,LCN,3
07/03/18,Chap00_rec49,51,LCN,3
07/03/18,Chap00_rec49,52,LCN,3
07/03/18,Chap00_rec49,53,LCN,3
07/03/18,Chap00_rec49,54,LCN,3
07/03/18,Chap00_rec49,55,LCN,3
07/03/18,Chap00_rec49,56,LCN,3
07/03/18,Chap00_rec49,57,LCN,3
07/03/18,Chap00_rec49,58,LCN,3
07/03/18,Chap00_rec49,59,LCN,3
07/03/18,Chap00_rec49,60,LCN,3
07/03/18,Chap00_rec49,61,LCN,3
07/03/18,Chap00_rec49,62,LCN,3
07/03/18,Chap00_rec49,63,LCN,3
07/03/18,Chap00_rec49,64,LCN,3
07/03/18,Chap00_rec49,81,LOFC,4
07/03/18,Chap00_rec49,82,LOFC,4
07/03/18,Chap00_rec49,83,LOFC,4
07/03/18,Chap00_rec49,84,LOFC,4
07/03/18,Chap00_rec49,85,LOFC,4
07/03/18,Chap00_rec49,86,LOFC,4
07/03/18,Chap00_rec49,87,LOFC,4
07/03/18,Chap00_rec49,88,LOFC,4
07/03/18,Chap00_rec49,89,LOFC,4
07/03/18,Chap00_rec49,90,LOFC,4
07/03/18,Chap00_rec49,91,LOFC,4
07/03/18,Chap00_rec49,92,LOFC,4
07/03/18,Chap00_rec49,93,LOFC,4
07/03/18,Chap00_rec49,94,LOFC,4
07/03/18,Chap00_rec49,95,LOFC,4
07/03/18,Chap00_rec49,96,LOFC,4
07/03/18,Chap00_rec49,97,LCN,5
07/03/18,Chap00_rec49,98,LCN,5
07/03/18,Chap00_rec49,99,LCN,5
07/03/18,Chap00_rec49,100,LCN,5
07/03/18,Chap00_rec49,101,LCN,5
07/03/18,Chap00_rec49,102,LCN,5
07/03/18,Chap00_rec49,103,LCN,5
07/03/18,Chap00_rec49,104,LCN,5
07/03/18,Chap00_rec49,105,LCN,5
07/03/18,Chap00_rec49,106,LCN,5
07/03/18,Chap00_rec49,107,LCN,5
07/03/18,Chap00_rec49,108,LCN,5
07/03/18,Chap00_rec49,109,LCN,5
07/03/18,Chap00_rec49,110,LCN,5
07/03/18,Chap00_rec49,111,LCN,5
07/03/18,Chap00_rec49,112,LCN,5
07/03/18,Chap00_rec49,129,LCN,6
07/03/18,Chap00_rec49,130,LCN,6
07/03/18,Chap00_rec49,131,LCN,6
07/03/18,Chap00_rec49,132,LCN,6
07/03/18,Chap00_rec49,133,LCN,6
07/03/18,Chap00_rec49,134,LCN,6
07/03/18,Chap00_rec49,135,LCN,6
07/03/18,Chap00_rec49,136,LCN,6
07/03/18,Chap00_rec49,137,LCN,6
07/03/18,Chap00_rec49,138,LCN,6
07/03/18,Chap00_rec49,139,LCN,6
07/03/18,Chap00_rec49,140,LCN,6
07/03/18,Chap00_rec49,141,LCN,6
07/03/18,Chap00_rec49,142,LCN,6
07/03/18,Chap00_rec49,143,LCN,6
07/03/18,Chap00_rec49,144,LCN,6
07/06/18,Chap00_rec50,1,LOFC,1
07/06/18,Chap00_rec50,2,LOFC,1
07/06/18,Chap00_rec50,3,LOFC,1
07/06/18,Chap00_rec50,4,LOFC,1
07/06/18,Chap00_rec50,5,LOFC,1
07/06/18,Chap00_rec50,6,LOFC,1
07/06/18,Chap00_rec50,7,LOFC,1
07/06/18,Chap00_rec50,8,LOFC,1
07/06/18,Chap00_rec50,9,LOFC,1
07/06/18,Chap00_rec50,10,LOFC,1
07/06/18,Chap00_rec50,11,LOFC,1
07/06/18,Chap00_rec50,12,LOFC,1
07/06/18,Chap00_rec50,13,LOFC,1
07/06/18,Chap00_rec50,14,LOFC,1
07/06/18,Chap00_rec50,15,LOFC,1
07/06/18,Chap00_rec50,16,LOFC,1
07/06/18,Chap00_rec50,17,LOFC,2
07/06/18,Chap00_rec50,18,LOFC,2
07/06/18,Chap00_rec50,19,LOFC,2
07/06/18,Chap00_rec50,20,LOFC,2
07/06/18,Chap00_rec50,21,LOFC,2
07/06/18,Chap00_rec50,22,LOFC,2
07/06/18,Chap00_rec50,23,LOFC,2
07/06/18,Chap00_rec50,24,LOFC,2
07/06/18,Chap00_rec50,25,LOFC,2
07/06/18,Chap00_rec50,26,LOFC,2
07/06/18,Chap00_rec50,27,LOFC,2
07/06/18,Chap00_rec50,28,LOFC,2
07/06/18,Chap00_rec50,29,LOFC,2
07/06/18,Chap00_rec50,30,LOFC,2
07/06/18,Chap00_rec50,31,LOFC,2
07/06/18,Chap00_rec50,32,LOFC,2
07/06/18,Chap00_rec50,49,LCN,3
07/06/18,Chap00_rec50,50,LCN,3
07/06/18,Chap00_rec50,51,LCN,3
07/06/18,Chap00_rec50,52,LCN,3
07/06/18,Chap00_rec50,53,LCN,3
07/06/18,Chap00_rec50,54,LCN,3
07/06/18,Chap00_rec50,55,LCN,3
07/06/18,Chap00_rec50,56,LCN,3
07/06/18,Chap00_rec50,57,LCN,3
07/06/18,Chap00_rec50,58,LCN,3
07/06/18,Chap00_rec50,59,LCN,3
07/06/18,Chap00_rec50,60,LCN,3
07/06/18,Chap00_rec50,61,LCN,3
07/06/18,Chap00_rec50,62,LCN,3
07/06/18,Chap00_rec50,63,LCN,3
07/06/18,Chap00_rec50,64,LCN,3
07/06/18,Chap00_rec50,81,LOFC,4
07/06/18,Chap00_rec50,82,LOFC,4
07/06/18,Chap00_rec50,83,LOFC,4
07/06/18,Chap00_rec50,84,LOFC,4
07/06/18,Chap00_rec50,85,LOFC,4
07/06/18,Chap00_rec50,86,LOFC,4
07/06/18,Chap00_rec50,87,LOFC,4
07/06/18,Chap00_rec50,88,LOFC,4
07/06/18,Chap00_rec50,89,LOFC,4
07/06/18,Chap00_rec50,90,LOFC,4
07/06/18,Chap00_rec50,91,LOFC,4
07/06/18,Chap00_rec50,92,LOFC,4
07/06/18,Chap00_rec50,93,LOFC,4
07/06/18,Chap00_rec50,94,LOFC,4
07/06/18,Chap00_rec50,95,LOFC,4
07/06/18,Chap00_rec50,96,LOFC,4
07/06/18,Chap00_rec50,97,LCN,5
07/06/18,Chap00_rec50,98,LCN,5
07/06/18,Chap00_rec50,99,LCN,5
07/06/18,Chap00_rec50,100,LCN,5
07/06/18,Chap00_rec50,101,LCN,5
07/06/18,Chap00_rec50,102,LCN,5
07/06/18,Chap00_rec50,103,LCN,5
07/06/18,Chap00_rec50,104,LCN,5
07/06/18,Chap00_rec50,105,LCN,5
07/06/18,Chap00_rec50,106,LCN,5
07/06/18,Chap00_rec50,107,LCN,5
07/06/18,Chap00_rec50,108,LCN,5
07/06/18,Chap00_rec50,109,LCN,5
07/06/18,Chap00_rec50,110,LCN,5
07/06/18,Chap00_rec50,111,LCN,5
07/06/18,Chap00_rec50,112,LCN,5
07/06/18,Chap00_rec50,129,LCN,6
07/06/18,Chap00_rec50,130,LCN,6
07/06/18,Chap00_rec50,131,LCN,6
07/06/18,Chap00_rec50,132,LCN,6
07/06/18,Chap00_rec50,133,LCN,6
07/06/18,Chap00_rec50,134,LCN,6
07/06/18,Chap00_rec50,135,LCN,6
07/06/18,Chap00_rec50,136,LCN,6
07/06/18,Chap00_rec50,137,LCN,6
07/06/18,Chap00_rec50,138,LCN,6
07/06/18,Chap00_rec50,139,LCN,6
07/06/18,Chap00_rec50,140,LCN,6
07/06/18,Chap00_rec50,141,LCN,6
07/06/18,Chap00_rec50,142,LCN,6
07/06/18,Chap00_rec50,143,LCN,6
07/06/18,Chap00_rec50,144,LCN,6
07/09/18,Chap00_rec51,1,LOFC,1
07/09/18,Chap00_rec51,2,LOFC,1
07/09/18,Chap00_rec51,3,LOFC,1
07/09/18,Chap00_rec51,4,LOFC,1
07/09/18,Chap00_rec51,5,LOFC,1
07/09/18,Chap00_rec51,6,LOFC,1
07/09/18,Chap00_rec51,7,LOFC,1
07/09/18,Chap00_rec51,8,LOFC,1
07/09/18,Chap00_rec51,9,LOFC,1
07/09/18,Chap00_rec51,10,LOFC,1
07/09/18,Chap00_rec51,11,LOFC,1
07/09/18,Chap00_rec51,12,LOFC,1
07/09/18,Chap00_rec51,13,LOFC,1
07/09/18,Chap00_rec51,14,LOFC,1
07/09/18,Chap00_rec51,15,LOFC,1
07/09/18,Chap00_rec51,16,LOFC,1
07/09/18,Chap00_rec51,17,LOFC,2
07/09/18,Chap00_rec51,18,LOFC,2
07/09/18,Chap00_rec51,19,LOFC,2
07/09/18,Chap00_rec51,20,LOFC,2
07/09/18,Chap00_rec51,21,LOFC,2
07/09/18,Chap00_rec51,22,LOFC,2
07/09/18,Chap00_rec51,23,LOFC,2
07/09/18,Chap00_rec51,24,LOFC,2
07/09/18,Chap00_rec51,25,LOFC,2
07/09/18,Chap00_rec51,26,LOFC,2
07/09/18,Chap00_rec51,27,LOFC,2
07/09/18,Chap00_rec51,28,LOFC,2
07/09/18,Chap00_rec51,29,LOFC,2
07/09/18,Chap00_rec51,30,LOFC,2
07/09/18,Chap00_rec51,31,LOFC,2
07/09/18,Chap00_rec51,32,LOFC,2
07/09/18,Chap00_rec51,49,LCN,3
07/09/18,Chap00_rec51,50,LCN,3
07/09/18,Chap00_rec51,51,LCN,3
07/09/18,Chap00_rec51,52,LCN,3
07/09/18,Chap00_rec51,53,LCN,3
07/09/18,Chap00_rec51,54,LCN,3
07/09/18,Chap00_rec51,55,LCN,3
07/09/18,Chap00_rec51,56,LCN,3
07/09/18,Chap00_rec51,57,LCN,3
07/09/18,Chap00_rec51,58,LCN,3
07/09/18,Chap00_rec51,59,LCN,3
07/09/18,Chap00_rec51,60,LCN,3
07/09/18,Chap00_rec51,61,LCN,3
